site_id,mse,rmse
AR-SLu,0.0275177769362926,0.1658848303380771
AT-Neu,0.0085518443956971,0.0924761828564367
AU-ASM,0.0267924461513757,0.1636839825742756
AU-Cpr,0.0254198592156171,0.1594360662322587
AU-Cum,0.0085802366957068,0.0926295670707082
AU-DaP,0.0158015973865985,0.1257044048018946
AU-DaS,0.0149328764528036,0.1222001491521332
AU-Dry,0.0158811192959547,0.1260203130291093
AU-Emr,0.0111985187977552,0.1058230541883726
AU-GWW,0.0226982291787862,0.1506593149419785
AU-Gin,0.0180773716419935,0.134452116539657
AU-How,0.0103524252772331,0.1017468686360082
AU-Lox,0.0206201300024986,0.1435971100074741
AU-RDF,0.0165454894304275,0.1286292712815693
AU-Rig,0.0205234792083501,0.1432601801211704
AU-Rob,0.0192847158759832,0.1388694202334813
AU-Stp,0.0119739919900894,0.10942573732943
AU-TTE,0.0182213876396417,0.134986620224531
AU-Whr,0.006743383128196,0.0821181047528253
AU-Wom,0.0171692539006471,0.1310314996504549
AU-Ync,0.0210858844220638,0.1452097945114716
BE-Bra,0.007726380135864,0.0878998301242045
BE-Dor,0.0068324408493936,0.0826585800107502
BE-Lcr,0.0103832250460982,0.1018981111017188
BE-Lon,0.0482541806995868,0.2196683425065771
BE-Maa,0.0169844981282949,0.1303245875815264
BE-Vie,0.00737133808434,0.0858564970420998
BR-Npw,0.0077570020221173,0.0880738441429541
BR-Sa3,0.019698180258274,0.1403502057649866
CA-ARB,0.0195077862590551,0.1396702769348408
CA-ARF,0.0237418450415134,0.1540838896235211
CA-DB2,0.0269045867025852,0.1640261768821831
CA-DBB,0.0129831274971365,0.11394352766672
CA-Gro,0.0095488000661134,0.097717961839743
CA-Oas,0.0226829275488853,0.1506085241574505
CA-SF2,0.0119767012074589,0.1094381158804325
CA-TP1,0.0185106601566076,0.1360538869588356
CH-Aws,0.0138443000614643,0.1176618037489835
CH-Cha,0.0081852674484252,0.0904724679028117
CH-Dav,0.0110384877771139,0.1050642078783917
CH-Fru,0.0098254336044192,0.099123325228824
CH-Oe1,0.0197227653115987,0.1404377631251608
CN-Dan,0.0131046883761882,0.1144757108568812
CN-Din,0.0177742447704076,0.1333200838973921
CN-Du2,0.0155138801783323,0.1245547276434432
CN-Du3,0.0352118499577045,0.187648207978932
CN-HaM,0.0184705629944801,0.1359064494219466
CN-Qia,0.0140854641795158,0.1186821982418418
CN-Sw2,0.0543810464441776,0.2331974409040065
CZ-KrP,0.0151192834600806,0.12296049552633
CZ-Lnz,0.0096769230440258,0.0983713527609837
DE-Gri,0.0088897999376058,0.0942857355998555
DE-HoH,0.012236550450325,0.1106189425474905
DE-Hte,0.0143662337213754,0.1198592245985909
DE-Lkb,0.0247240774333477,0.157238918316515
DE-Obe,0.0086186546832323,0.0928367097824578
DE-RuW,0.0085875689983367,0.0926691372482596
DE-SfN,0.0335242226719856,0.1830962115172938
DE-Tha,0.0111784311011433,0.105728099865378
DK-Fou,0.0462344847619533,0.2150220564545724
DK-Gds,0.0174159184098243,0.1319693843655579
DK-Skj,0.0112706534564495,0.1061633338608462
DK-Sor,0.0094655361026525,0.0972909867493004
DK-Vng,0.0184034407138824,0.1356592817092971
ES-Abr,0.0096153514459729,0.0980578984374686
ES-Agu,0.0416195765137672,0.2040087657767852
ES-Amo,0.0562659278512001,0.2372044009945854
ES-LJu,0.0366670303046703,0.1914863710676828
ES-LgS,0.0091091729700565,0.095441987458647
FI-Ken,0.0112154884263873,0.1059032030978634
FI-Let,0.0160792730748653,0.1268040735736251
FI-Lom,0.0171064138412475,0.1307914899419972
FI-Qvd,0.0312412343919277,0.1767519006741588
FI-Sii,0.0291102398186922,0.1706172318925969
