GroupLeftOut,MSE,RMSE,R2,MAE
0,0.0003509699,0.01873419,0.6744481325149536,0.009835369
1,0.00041663324,0.020411596,0.6062777042388916,0.010970099
2,0.00027820258,0.016679406,0.6690435409545898,0.009451444
3,0.00044316132,0.021051398,0.6918199062347412,0.010718454
4,0.00025245792,0.015888924,0.7079333662986755,0.00918604
5,0.0005760986,0.024002055,0.6759294271469116,0.0133163
6,0.00041355408,0.020336028,0.6837143898010254,0.01077611
7,0.0001225079,0.011068329,0.2912437915802002,0.006623476
8,0.0005117354,0.022621568,0.6867312788963318,0.012651341
9,0.00034750812,0.018641569,0.7043750286102295,0.009794387
