cluster_left_out,mse,rmse,r2
0,0.0004623362510895,0.0215020057457342,0.5711469933875009
1,0.0005588514398023,0.0236400389128764,0.4718801679889225
2,0.0005065758960722,0.0225072409697908,0.3973652935921766
3,0.0006710092818557,0.0259038468543902,0.5333713163570595
4,0.0003957274900525,0.0198929004937081,0.5421860218370472
5,0.0008144600389283,0.028538746274641,0.5418448514410228
6,0.0005828910528398,0.0241431367647178,0.5542058346557418
7,0.0004584339630031,0.0214110710382061,-1.65222088342746
8,0.0007477330415846,0.0273447077436322,0.5422608141790151
9,0.0005147496206557,0.0226880942490939,0.562102770318284
