cluster_left_out,mse,rmse,r2,relative_error,mae
0,0.0004623362510895,0.0215020057457342,0.5711469933875009,0.0243775520209258,0.0132234231438757
1,0.0005588514398023,0.0236400389128764,0.4718801679889225,0.0283998892319848,0.0152279010554825
2,0.0005065758960722,0.0225072409697908,0.3973652935921766,0.03096729332559,0.0161738191337468
3,0.0006710092818557,0.0259038468543902,0.5333713163570595,0.0328782508220807,0.0176463586644658
4,0.0003957274900525,0.0198929004937081,0.5421860218370472,0.0277944821166427,0.0145765704967357
5,0.0008144600389283,0.028538746274641,0.5418448514410228,0.0330023882745723,0.018210479705975
6,0.0005828910528398,0.0241431367647178,0.5542058346557418,0.0279731229625276,0.0152812236792218
7,0.0004584339630031,0.0214110710382061,-1.65222088342746,0.0331430808226947,0.016843922451227
8,0.0007477330415846,0.0273447077436322,0.5422608141790151,0.0422744243970765,0.0190414490104919
9,0.0005147496206557,0.0226880942490939,0.562102770318284,0.0288748450477579,0.0154483564439083
