cluster,test_loss,mse,r2,relative_error,mae,rmse
0,0.00046168669359758496,0.00046168698463588953,0.5717500448226929,0.025395309552550316,0.013748249970376492,0.021486902609467506
4,0.0004209930484648794,0.00042099374695681036,0.5129587054252625,0.026336142793297768,0.01394299603998661,0.02051813155412674
2,0.0005474556819535792,0.0005474556237459183,0.3487352132797241,0.024713831022381783,0.013124080374836922,0.023397769778966904
1,0.0005660530878230929,0.0005660521565005183,0.46507716178894043,0.026645949110388756,0.014519179239869118,0.023791851475834846
6,0.0007184239220805466,0.0007184288115240633,0.4505476951599121,0.034400731325149536,0.018591854721307755,0.026803523302078247
7,0.0013980106450617313,0.0013980185613036156,-7.088071823120117,0.014136001467704773,0.007249406538903713,0.03739008679986
3,0.0008401281666010618,0.0008401245577260852,0.415769100189209,0.034078456461429596,0.018431901931762695,0.028984902426600456
9,0.0005337934126146138,0.0005337932961992919,0.5459034442901611,0.029155336320400238,0.015637144446372986,0.023103967308998108
5,0.0009378889226354659,0.0009379109251312912,0.47240114212036133,0.037042394280433655,0.02045057900249958,0.03062533214688301
8,0.0005632092943415046,0.0005632099928334355,0.655221164226532,0.03172400966286659,0.014576628804206848,0.02373204566538334
