Metric,Value,Type,Feature,Importance
MSE,0.0003620785573672215,Metric,,
R2,0.7614096174531845,Metric,,
RMSE,0.01902836192022901,Metric,,
MAE,0.009718562149742269,Metric,,
Relative Error,1.8215458347555744,Metric,,
,,Feature Importance,SWdown_clearsky,0.3913386
,,Feature Importance,fPAR,0.24379337
,,Feature Importance,SWdown,0.09806331
,,Feature Importance,IGBP_veg_short_b'CRO',0.04919558
,,Feature Importance,LST_TERRA_Day,0.030773344
,,Feature Importance,IGBP_veg_short_b'WET',0.02735503
,,Feature Importance,Tair,0.021329029
,,Feature Importance,IGBP_veg_short_b'GRA',0.018213572
,,Feature Importance,LAI,0.017033778
,,Feature Importance,LST_TERRA_Night,0.013068997
,,Feature Importance,IGBP_veg_short_b'OSH',0.012115971
,,Feature Importance,IGBP_veg_short_b'DBF',0.011277114
,,Feature Importance,IGBP_veg_short_b'ENF',0.0104382215
,,Feature Importance,vpd,0.008795634
,,Feature Importance,IGBP_veg_short_b'MF',0.008091934
,,Feature Importance,LWdown,0.007365801
,,Feature Importance,IGBP_veg_short_b'EBF',0.006794657
,,Feature Importance,IGBP_veg_short_b'SAV',0.006513062
,,Feature Importance,IGBP_veg_short_b'CSH',0.006066389
,,Feature Importance,hour,0.0059793824
,,Feature Importance,EVI,0.0038578887
,,Feature Importance,IGBP_veg_short_b'CVM',0.0017571833
,,Feature Importance,IGBP_veg_short_b'WSA',0.0007822352
,,Feature Importance,NIRv,0.0
,,Feature Importance,NDWI_band7,0.0
