Split,MSE,R2,Relative Error,Mean Absolute Error,MSE Relative to Avg GPP,Coefficients
0,3.71503261485109e-06,0.9982914773131287,0.05995415804952359,0.0004106142880204832,0.00011430800144620695,"[-9.81157669e-01  2.96028185e-01 -9.66250231e-05  6.99998123e-05
  1.37147620e-04  4.62847486e-05  1.84558917e-04 -2.98924468e+08
 -7.16618291e+06 -1.55531010e-04 -6.47093865e-05  7.72321675e-04
 -8.31254779e-04  9.39912796e-05 -3.93881222e-04  1.92979545e-04
  3.79091580e-05 -1.99705257e-04 -3.03441672e-05 -1.60554636e-05
  7.16771193e-05  2.47499114e-05  2.18635828e+09  2.18635828e+09
  2.18635828e+09  2.18635828e+09  2.18635828e+09  2.18635828e+09
  2.18635828e+09  0.00000000e+00]"
1,3.2550568788022664e-06,0.9985567764052894,0.06278867915600882,0.0004197645046572141,9.886530232639361e-05,"[-9.81133326e-01  2.96066545e-01 -5.06924509e-05  6.51849301e-05
  1.35858702e-04  2.95660296e-05  1.83217605e-04 -7.79022203e+07
 -1.11563853e+08 -1.83331782e-04 -6.32588753e-05  7.65767322e-04
 -8.42336098e-04  1.25342156e-04 -3.79195423e-04  1.84463373e-04
  4.16352112e-05 -2.24413263e-04 -2.29396284e-05 -9.52739011e-07
  4.69132519e-05  2.16046341e-05 -2.19598669e+06  8.55416907e+08
  8.55416907e+08  8.55416907e+08  8.55416907e+08  8.55416907e+08
  8.55416907e+08  8.55416907e+08]"
2,3.6892223716057096e-06,0.9986099775731114,0.0866822897702776,0.00046952223306600085,0.00010654983621782368,"[-9.81122915e-01  2.96010482e-01 -1.03176832e-04  6.47983190e-05
  1.43037722e-04  5.31531235e-05  1.80040999e-04 -2.70486571e+08
 -1.39219486e+08 -1.40991040e-04 -7.50414473e-05  8.30398198e-04
 -8.82301473e-04  8.44655397e-05 -3.78281746e-04  2.06607174e-04
  3.56963169e-05 -2.05969137e-04 -1.88421379e-05 -1.23556673e-05
  7.66337185e-05  2.60416422e-05 -4.41849732e+06 -2.01915222e+09
 -2.01915222e+09 -2.01915222e+09 -2.01915222e+09 -2.01915222e+09
 -2.01915222e+09 -2.01915222e+09]"
3,3.1342378537968128e-06,0.99861434638903,0.06709401320125213,0.0004239133683081356,9.500639658513945e-05,"[-9.81124443e-01  2.96089253e-01 -3.18178803e-05  6.17560733e-05
  1.34395489e-04  2.09786290e-05  1.82769998e-04  3.95747640e+03
  9.68008578e+04 -2.02156322e-04 -5.30699044e-05  6.98980227e-04
 -7.89460232e-04  1.41189526e-04 -3.78538307e-04  1.79152368e-04
  5.28740913e-05 -2.23529375e-04 -2.25427406e-05  1.16308234e-06
  3.76972080e-05  2.01920447e-05 -4.23640843e+03 -8.72657559e+06
 -8.72657559e+06 -8.72657559e+06 -8.72657559e+06 -8.72657559e+06
 -8.72657559e+06 -8.72657559e+06]"
4,3.3259909512507106e-06,0.9985174480521057,0.07091261698053226,0.0004178702422041129,0.00010114037080692004,"[-9.81136262e-01  2.96066018e-01 -4.90071563e-05  6.74217247e-05
  1.35563090e-04  2.89441124e-05  1.82673451e-04 -3.80983557e+08
 -3.25823235e+07 -1.85363137e-04 -5.76200307e-05  7.09162582e-04
 -7.95898439e-04  1.27822997e-04 -3.83278426e-04  1.92727587e-04
  4.48490529e-05 -2.19849256e-04 -2.32564374e-05 -1.31993959e-06
  4.61377210e-05  2.05304994e-05 -6.32745953e+04 -8.65718115e+08
 -8.65718115e+08 -8.65718115e+08 -8.65718115e+08 -8.65718115e+08
 -8.65718115e+08 -8.65718115e+08]"
5,3.279382728253889e-06,0.9985186994501111,0.04787310462879553,0.00041087056357789884,0.0001002512927267205,"[-9.81140114e-01  2.96114468e-01  2.17017964e-05  5.05453244e-05
  1.29955182e-04 -7.70626602e-07  1.81722450e-04 -1.97599625e+07
 -3.72105549e+08 -2.43004232e-04 -4.12241432e-05  7.56183003e-04
 -8.50342233e-04  1.72683772e-04 -3.51959000e-04  1.46009546e-04
  5.35468343e-05 -2.50991244e-04 -2.42701801e-05  5.20013445e-06
  7.73086091e-06  1.77885161e-05  1.32026319e+06 -2.46510449e+09
 -2.46510449e+09 -2.46510449e+09 -2.46510449e+09 -2.46510449e+09
 -2.46510449e+09 -2.46510449e+09]"
6,3.3038249467147146e-06,0.9985628909729969,0.09385375220339374,0.0004284250207479491,9.984264569336737e-05,"[-9.81130875e-01  2.96062896e-01 -5.65094710e-05  7.05778289e-05
  1.35827871e-04  3.26997279e-05  1.81917705e-04  7.09733182e+07
 -4.50365358e+05 -1.85376724e-04 -6.22560309e-05  7.97980341e-04
 -8.71911626e-04  1.16942010e-04 -3.75348107e-04  1.96606484e-04
  4.61152955e-05 -2.26789167e-04 -1.68064669e-05 -1.27066721e-06
  3.35008390e-05  2.25741997e-05  3.87048573e+05 -2.02591896e+09
 -2.02591896e+09 -2.02591896e+09 -2.02591896e+09 -2.02591896e+09
 -2.02591896e+09 -2.02591896e+09]"
7,3.6467547527383084e-06,0.9985701158518968,0.05427516172059994,0.00045673237500059395,0.00010629719804002541,"[-9.81130440e-01  2.96058180e-01 -5.10071553e-05  6.74758733e-05
  1.34286694e-04  2.79003044e-05  1.79692876e-04  6.09980248e+07
 -5.13358204e+07 -1.98564029e-04 -5.04736876e-05  7.80812481e-04
 -8.54312732e-04  1.28321079e-04 -3.82773388e-04  1.85273859e-04
  4.48571683e-05 -2.28692569e-04 -2.45333539e-05  1.09684375e-06
  4.11278902e-05  2.16602078e-05  3.00631389e+05 -2.28572513e+08
 -2.28572513e+08 -2.28572513e+08 -2.28572513e+08 -2.28572513e+08
 -2.28572513e+08 -2.28572513e+08]"
8,3.4000394265407354e-06,0.9985501839954258,0.08311562036547837,0.0004354699210476762,0.00010201878266555433,"[-9.81150787e-01  2.96051650e-01 -6.38220153e-05  7.56437155e-05
  1.32061602e-04  3.30353685e-05  1.84311234e-04  6.37582967e+06
 -2.54759333e+07 -1.77530885e-04 -6.77524711e-05  7.53549581e-04
 -8.23594080e-04  1.20344876e-04 -3.76625606e-04  1.91422081e-04
  5.25886966e-05 -2.15671172e-04 -1.42532986e-05  2.07490268e-07
  3.10694904e-05  2.20628686e-05 -1.37627505e+06  1.19187041e+09
  1.19187041e+09  1.19187041e+09  1.19187041e+09  1.19187041e+09
  1.19187041e+09  1.19187041e+09]"
9,3.3824481922123024e-06,0.9984439215381704,0.07141236789481845,0.00040463306940334754,0.0001039665181924082,"[-9.81160113e-01  2.96074974e-01 -9.16712152e-06  5.91803025e-05
  1.28800313e-04  1.42007031e-05  1.85411758e-04 -4.14516549e+08
  4.47162802e+08 -2.16399305e-04 -5.09564362e-05  7.47079157e-04
 -8.23196680e-04  1.42616471e-04 -3.70982831e-04  1.64387240e-04
  4.53207517e-05 -2.34502633e-04 -2.21033143e-05  2.17227751e-06
  3.25413468e-05  1.91241767e-05  4.14319093e+06  1.54273133e+09
  1.54273133e+09  1.54273133e+09  1.54273133e+09  1.54273133e+09
  1.54273133e+09  1.54273133e+09]"
